Category,Subcategory_1,Subcategory_2,Subcategory_3,Subcategory_4,Product Name,Date,Price,Quantity (kg|L),URL
Frescos,Fruites i verdures,De temporada,Verdura,, Coliflor 1 u.,20241104,2.85,,https://www.compraonline.bonpreuesclat.cat/products/coliflor-1-u/07337
Frescos,Fruites i verdures,De temporada,Verdura,,LA COLLITA Carbassa Km0 1 u.,20241104,2.59,,https://www.compraonline.bonpreuesclat.cat/products/la-collita-carbassa-km0-1-u/82209
Frescos,Fruites i verdures,De temporada,Verdura,,LA COLLITA Floretes de coliflor en safata de 500 g,20241104,1.99,0.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-floretes-de-coliflor-en-safata-de-500-g/32496
Frescos,Fruites i verdures,De temporada,Verdura,, Alberginia negra 1 u.,20241104,0.84,0.42kg,https://www.compraonline.bonpreuesclat.cat/products/albergínia-negra-1-u/07319
Frescos,Fruites i verdures,De temporada,Verdura,,LA COLLITA Brocoli per cuinar al vapor,20241104,1.59,0.23kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-bròcoli-per-cuinar-al-vapor/88588
Frescos,Fruites i verdures,De temporada,Verdura,,MANS Moniato ecologic,20241104,2.75,0.7kg,https://www.compraonline.bonpreuesclat.cat/products/mans-moniato-ecològic/01977
Frescos,Fruites i verdures,De temporada,Verdura,, Pastanaga 1 u.,20241104,0.18,0.125kg,https://www.compraonline.bonpreuesclat.cat/products/pastanaga-1-u/07304
Frescos,Fruites i verdures,De temporada,Verdura,,FLORETTE Verdures per microones,20241104,1.89,0.275kg,https://www.compraonline.bonpreuesclat.cat/products/florette-verdures-per-microones/00896
Frescos,Fruites i verdures,De temporada,Verdura,, Carbassa ecologica Km0 1 u.,20241104,2.55,,https://www.compraonline.bonpreuesclat.cat/products/carbassa-ecològica-km0-1-u/00121
Frescos,Fruites i verdures,De temporada,Verdura,,LA COLLITA Ceba blanca en malla de 500 g,20241104,1.35,0.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-ceba-blanca-en-malla-de-500-g/01393
Frescos,Fruites i verdures,Fruita,Citrics,,LA COLLITA Llimona malla 1 kg,20241104,1.79,1kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-llimona-malla-1-kg/23901
Frescos,Fruites i verdures,Fruita,Citrics,, Mandarina 1u.,20241104,0.29,,https://www.compraonline.bonpreuesclat.cat/products/mandarina-1u/03654
Frescos,Fruites i verdures,Fruita,Citrics,, Llimona 1 u.,20241104,0.39,,https://www.compraonline.bonpreuesclat.cat/products/llimona-1-u/82273
Frescos,Fruites i verdures,Fruita,Citrics,, Taronja 1 u.,20241104,0.65,,https://www.compraonline.bonpreuesclat.cat/products/taronja-1-u/82212
Frescos,Fruites i verdures,Fruita,Citrics,,LA COLLITA Taronges malla de 2 kg,20241104,4.79,2kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-taronges-malla-de-2-kg/07399
Frescos,Fruites i verdures,Fruita,Citrics,,LA COLLITA Mandarines Terres de l'Ebre Km0,20241104,2.99,1.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-mandarines-terres-de-l-ebre-km0/27422
Frescos,Fruites i verdures,Fruita,Citrics,,LA COLLITA Mandarines en malla de 2 kg,20241104,4.49,2kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-mandarines-en-malla-de-2-kg/38061
Frescos,Fruites i verdures,Fruita,Citrics,, Aranja 1 u.,20241104,0.98,,https://www.compraonline.bonpreuesclat.cat/products/aranja-1-u/11525
Frescos,Fruites i verdures,Fruita,Citrics,,LA COLLITA Llima en malla de 350 g,20241104,1.55,0.35kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-llima-en-malla-de-350-g/09612
Frescos,Fruites i verdures,Fruita,Citrics,,LA COLLITA Llimona ecologica en malla 500 g,20241104,1.99,0.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-llimona-ecològica-en-malla-500-g/00575
Frescos,Fruites i verdures,Fruita,Citrics,, Llimona 1 u.,20241104,0.64,0.26kg,https://www.compraonline.bonpreuesclat.cat/products/llimona-1-u/07396
Frescos,Fruites i verdures,Fruita,Citrics,, Mandarina fulla 1 u.,20241104,0.45,0.15kg,https://www.compraonline.bonpreuesclat.cat/products/mandarina-fulla-1-u/32429
Frescos,Fruites i verdures,Fruita,Citrics,, Taronja 1 u.,20241104,0.62,0.27kg,https://www.compraonline.bonpreuesclat.cat/products/taronja-1-u/07398
Frescos,Fruites i verdures,Fruita,Citrics,, Aranja 1 u.,20241104,0.87,0.35kg,https://www.compraonline.bonpreuesclat.cat/products/aranja-1-u/07397
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Pera Conference Km0 1 u.,20241104,0.49,,https://www.compraonline.bonpreuesclat.cat/products/pera-conference-km0-1-u/82244
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",,LA COLLITA Platan canari en manat,20241104,1.85,0.8kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-plàtan-canari-en-manat/82039
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Poma Golden Km0 1 u.,20241104,0.43,,https://www.compraonline.bonpreuesclat.cat/products/poma-golden-km0-1-u/82073
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Banana en manat 800 g,20241104,1.39,0.8kg,https://www.compraonline.bonpreuesclat.cat/products/banana-en-manat-800-g/01703
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Poma Royal Gala Km0 1 u.,20241104,0.46,,https://www.compraonline.bonpreuesclat.cat/products/poma-royal-gala-km0-1-u/82057
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Platan banana 1 u.,20241104,0.21,0.15kg,https://www.compraonline.bonpreuesclat.cat/products/plàtan-banana-1-u/07424
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",,LA COLLITA Platan Canari ecologic manat 800 g,20241104,2.99,0.8kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-plàtan-canari-ecològic-manat-800-g/45835
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Poma Granny Km0 1 u.,20241104,0.44,,https://www.compraonline.bonpreuesclat.cat/products/poma-granny-km0-1-u/82095
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Pera llimonera Km0 1 u.,20241104,0.65,,https://www.compraonline.bonpreuesclat.cat/products/pera-llimonera-km0-1-u/03612
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",,"LA COLLITA Poma golden de Girona Km0 bossa 1,5 kg",20241104,2.39,1.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-poma-golden-de-girona-km0-bossa-1-5-kg/49235
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Pera Conference Km0 1 u.,20241104,0.5,0.19kg,https://www.compraonline.bonpreuesclat.cat/products/pera-conference-km0-1-u/07422
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",,MANS Poma ecologica Km0 Royal Gala en safata de 650 g,20241104,2.59,0.65kg,https://www.compraonline.bonpreuesclat.cat/products/mans-poma-ecològica-km0-royal-gala-en-safata-de-650-g/01744
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",,LA COLLITA Pera Ercolina en safata de 500 g,20241104,1.55,0.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-pera-ercolina-en-safata-de-500-g/15406
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",,LA COLLITA Platan canari manat,20241104,1.69,0.85kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-plàtan-canari-manat/07722
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Pera conference extra 1 u.,20241104,0.85,,https://www.compraonline.bonpreuesclat.cat/products/pera-conference-extra-1-u/23880
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",,LA COLLITA Platan canari ecologic manat,20241104,2.46,0.65kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-plàtan-canari-ecològic-manat/03014
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Pera Blanquilla km0 1 u.,20241104,0.45,,https://www.compraonline.bonpreuesclat.cat/products/pera-blanquilla-km0-1-u/13824
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Platan canari extra 1 u.,20241104,0.51,0.235kg,https://www.compraonline.bonpreuesclat.cat/products/plàtan-canari-extra-1-u/04506
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Pera ercolina Km0 1 u.,20241104,0.25,0.09kg,https://www.compraonline.bonpreuesclat.cat/products/pera-ercolina-km0-1-u/03739
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Poma Golden Rustica Km0 1 u.,20241104,0.45,,https://www.compraonline.bonpreuesclat.cat/products/poma-golden-rústica-km0-1-u/45547
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",,"LA COLLITA Poma golden de Girona Km0 en bossa 1,5 kg",20241104,2.39,1.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-poma-golden-de-girona-km0-en-bossa-1-5-kg/37698
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",,"LA COLLITA Pera conference en safata d'1,5 kg",20241104,2.89,1.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-pera-conference-en-safata-d-1-5-kg/90670
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Poma ecologica Km0 en safata de 650 g,20241104,2.59,0.65kg,https://www.compraonline.bonpreuesclat.cat/products/poma-ecològica-km0-en-safata-de-650-g/00046
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Pera llimonera Km0 1 u.,20241104,0.54,0.2kg,https://www.compraonline.bonpreuesclat.cat/products/pera-llimonera-km0-1-u/03738
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Poma Fuji Km0 1 u.,20241104,0.55,0.24kg,https://www.compraonline.bonpreuesclat.cat/products/poma-fuji-km0-1-u/04531
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Pera Eliot Km0 1 u,20241104,0.5,,https://www.compraonline.bonpreuesclat.cat/products/pera-eliot-km0-1-u/56372
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Pera blanquilla km0 1 u.,20241104,0.39,0.15kg,https://www.compraonline.bonpreuesclat.cat/products/pera-blanquilla-km0-1-u/07423
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Poma Golden km0 1u.,20241104,0.39,0.195kg,https://www.compraonline.bonpreuesclat.cat/products/poma-golden-km0-1u/09533
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Pera Conference extra 1 u.,20241104,0.9,0.275kg,https://www.compraonline.bonpreuesclat.cat/products/pera-conference-extra-1-u/01811
Frescos,Fruites i verdures,Fruita,"Pomes, peres, platans i bananes",, Assortit de pomes en safata de 800 g,20241104,2.69,0.8kg,https://www.compraonline.bonpreuesclat.cat/products/assortit-de-pomes-en-safata-de-800-g/41015
Frescos,Fruites i verdures,Fruita,Melons i sindries,, Melo 1 u.,20241104,3.29,,https://www.compraonline.bonpreuesclat.cat/products/meló-1-u/82108
Frescos,Fruites i verdures,Fruita,Melons i sindries,,BOLLO Melo 1 u.,20241104,7.99,,https://www.compraonline.bonpreuesclat.cat/products/bollo-meló-1-u/46293
Frescos,Fruites i verdures,Fruita,Melons i sindries,, Melo tallat 1 u.,20241104,4.19,,https://www.compraonline.bonpreuesclat.cat/products/meló-tallat-1-u/75331
Frescos,Fruites i verdures,Fruita,Melons i sindries,, Melo 1 u.,20241104,4.98,2.5kg,https://www.compraonline.bonpreuesclat.cat/products/meló-1-u/08310
Frescos,Fruites i verdures,Fruita,Melons i sindries,,BOLLO Melo Bollo 1 u.,20241104,8.55,3.3kg,https://www.compraonline.bonpreuesclat.cat/products/bollo-meló-bollo-1-u/05748
Frescos,Fruites i verdures,Fruita,Melons i sindries,,BONPREU Melo tallat,20241104,3.5,1.6kg,https://www.compraonline.bonpreuesclat.cat/products/bonpreu-meló-tallat/09732
Frescos,Fruites i verdures,Fruita,Melons i sindries,,BOLLO Melo tallat,20241104,4.46,1.6kg,https://www.compraonline.bonpreuesclat.cat/products/bollo-meló-tallat/37731
Frescos,Fruites i verdures,Fruita,"Fruites dolces: pruna, raim, pressec, alvocat...",,LA COLLITA Alvocat en malla de 500 g,20241104,1.99,0.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-alvocat-en-malla-de-500-g/04176
Frescos,Fruites i verdures,Fruita,"Fruites dolces: pruna, raim, pressec, alvocat...",, Codony Km0 1 un.,20241104,0.65,,https://www.compraonline.bonpreuesclat.cat/products/codony-km0-1-un/51566
Frescos,Fruites i verdures,Fruita,"Fruites dolces: pruna, raim, pressec, alvocat...",, Codony Km0 1 u.,20241104,0.64,0.32kg,https://www.compraonline.bonpreuesclat.cat/products/codony-km0-1-u/07604
Frescos,Fruites i verdures,Fruita,"Fruites dolces: pruna, raim, pressec, alvocat...",,LA COLLITA Raim blanc sense llavors en bossa de 500 g,20241104,2.29,0.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-raïm-blanc-sense-llavors-en-bossa-de-500-g/04816
Frescos,Fruites i verdures,Fruita,"Fruites dolces: pruna, raim, pressec, alvocat...",, Alvocat 1 u.,20241104,1.39,,https://www.compraonline.bonpreuesclat.cat/products/alvocat-1-u/82055
Frescos,Fruites i verdures,Fruita,"Fruites dolces: pruna, raim, pressec, alvocat...",,LA COLLITA Figues negres Km0 en safata de 500 g,20241104,2.79,0.5kg,https://www.compraonline.bonpreuesclat.cat/products/la-collita-figues-negres-km0-en-safata-de-500-g/66899
